,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
53,CHEMBL4849134,CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4ccc(Cl)cc4Cl)c(=O)n(C)c3n2)cc1,active,512.4410000000004,5.766500000000005,1.0,7.0,6.795880017344075
54,CHEMBL4853179,CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4ccccc4Cl)c(=O)n(C)c3n2)cc1,active,477.99600000000027,5.113100000000004,1.0,7.0,8.397940008672037
55,CHEMBL4852860,CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4ccc(Cl)cc4)c(=O)n(C)c3n2)cc1,active,477.99600000000027,5.113100000000005,1.0,7.0,6.022276394711152
56,CHEMBL4870434,CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4ccc(O)cc4)c(=O)n(C)c3n2)cc1,active,459.55000000000024,4.165300000000003,2.0,8.0,8.301029995663981
57,CHEMBL4852513,CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4ccc(OC)cc4)c(=O)n(C)c3n2)cc1,active,473.5770000000003,4.468300000000003,1.0,8.0,6.292429823902063
58,CHEMBL136244,CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4ccccc4)c(=O)n(C)c3n2)cc1,active,443.5510000000002,4.459700000000003,1.0,7.0,7.853871964321762
59,CHEMBL136106,CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4ccccc4)c(=O)n(CC)c3n2)cc1,active,457.57800000000026,4.942600000000004,1.0,7.0,7.823908740944319
60,CHEMBL4871544,CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4ccccc4)c(=O)n(CCO)c3n2)cc1,active,473.5770000000003,3.915000000000002,2.0,8.0,6.568636235841013
61,CHEMBL4859716,CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(CCOC)c3n2)cc1,active,556.4940000000004,5.875900000000006,1.0,8.0,7.886056647693163
62,CHEMBL4858463,CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(Cc4ccccc4)c3n2)cc1,active,588.5390000000003,7.277800000000007,1.0,7.0,8.045757490560675
